ID,OutlineNumber,Name,Level,Duration,Start,Finish,Predecessors
1,1,ANALIZA,1,1d,,,
2,1.1,Analiza wymagań funkcjonalnych,2,1d,,,
3,1.1.1,Analiza procesów zgłaszania zgub,3,1d,,,
4,1.1.2,Analiza procesów zgłaszania znalezisk,3,1d,,,
5,1.1.3,Analiza procesów matchowania przedmiotów,3,1d,,,
6,1.1.4,Analiza procesów logistycznych,3,1d,,,
7,1.1.4.1,Nadanie przesyłki,4,1d,,,
8,1.1.4.2,Śledzenie przesyłek,4,1d,,,
9,1.1.4.3,Potwierdzenie odbioru,4,1d,,,
10,1.1.5,Analiza procesów płatności,3,1d,,,
11,1.1.5.1,Obsługa escrow,4,1d,,,
12,1.1.5.2,Rozliczenie wysyłek,4,1d,,,
13,1.1.5.3,Obsługa reklamacji,4,1d,,,
14,1.2,Analiza wymagań niefunkcjonalnych,2,1d,,,
15,1.2.1,Wymagania wydajnościowe,3,1d,,,
16,1.2.1.1,Obciążenie serwera,4,1d,,,
17,1.2.1.2,Obsługa równoczesnych użytkowników,4,1d,,,
18,1.2.2,Wymagania bezpieczeństwa,3,1d,,,
19,1.2.2.1,Ochrona danych użytkowników,4,1d,,,
20,1.2.2.2,Odporność na ataki (np. SQL Injection),4,1d,,,
21,1.2.2.3,Zgodność z RODO,4,1d,,,
22,1.2.3,Wymagania integracji API,3,1d,,,
23,1.2.3.1,Płatności i escrow,4,1d,,,
24,1.2.3.2,Geolokalizacja,4,1d,,,
25,1.2.3.3,API InPost,4,1d,,,
26,1.3,Modelowanie danych,2,1d,,,
27,1.3.1,Analiza struktury bazy danych,3,1d,,,
28,1.3.1.1,Projekt tabel zgłoszeń,4,1d,,,
29,1.3.1.2,Projekt tabel użytkowników,4,1d,,,
30,1.3.1.3,Projekt tabel logistycznych,4,1d,,,
31,1.3.2,Specyfikacja przepływu danych między systemami,3,1d,,,
32,1.3.2.1,Przepływ zgłoszenia od użytkownika do bazy,4,1d,,,
33,1.3.2.2,Integracja danych z API InPost i geolokalizacji,4,1d,,,
34,1.3.2.3,Obsługa danych płatności w escrow,4,1d,,,
35,1.4,Analiza ryzyk,2,1d,,,
36,1.4.1,"Identyfikacja potencjalnych zagrożeń (np. błędy integracji, niewydolność systemu)",3,1d,,,
37,1.4.2,Ocena wpływu ryzyk na funkcjonalność,3,1d,,,
38,1.4.3,Plan minimalizacji ryzyk,3,1d,,,
39,1.5,Dokumentacja wyników analizy,2,1d,,,
40,1.5.1,Raport wymagań funkcjonalnych,3,1d,,,
41,1.5.2,Raport wymagań niefunkcjonalnych,3,1d,,,
42,1.5.3,Dokumentacja modelu danych,3,1d,,,
43,1.5.4,Dokumentacja planu zarządzania ryzykiem,3,1d,,,
44,2,PROJEKTOWANIE,1,1d,,,
45,2.1,Architektura Rozwiązania,2,1d,,,
46,2.1.1,Architektura Systemu,3,1d,,,
47,2.1.1.1,Diagram architektury,4,1d,,,
48,2.1.1.2,Diagram przepływu danych,4,1d,,,
49,2.1.1.3,Schemat bazy danych,4,1d,,,
50,2.1.1.4,Architektura systemu escrow,4,1d,,,
51,2.1.2,Plan Integracji,3,1d,,,
52,2.1.2.1,Specyfikacja API płatności i escrow,4,1d,,,
53,2.1.2.2,Specyfikacja API InPost,4,1d,,,
54,2.1.2.3,Specyfikacja geolokalizacji,4,1d,,,
55,2.2,Procesy Biznesowe,2,1d,,,
56,2.2.1,Proces Główny,3,1d,,,
57,2.2.1.1,Proces zgłaszania zgub,4,1d,,,
58,2.2.1.2,Proces zgłaszania znalezisk,4,1d,,,
59,2.2.1.3,Proces matchowania,4,1d,,,
60,2.2.2,Proces Logistyczny,3,1d,,,
61,2.2.2.1,Nadanie przesyłki (z API InPost albo w ich apce),4,1d,,,
62,2.2.2.2,Śledzenie przesyłki (generowanie linków do InPost),4,1d,,,
63,2.2.2.3,Potwierdzenie odbioru (z API InPost),4,1d,,,
64,2.2.3,Proces Płatności,3,1d,,,
65,2.2.3.1,Wypłata znaleźnego poprzez escrow,4,1d,,,
66,2.2.3.2,Rozliczenie wysyłki,4,1d,,,
67,2.2.3.3,Obsługa reklamacji płatności,4,1d,,,
68,2.3,Interfejs Użytkownika,2,1d,,,
69,2.3.1,Makiety Główne,3,1d,,,
70,2.3.1.1,Rejestracja/logowanie,4,1d,,,
71,2.3.1.2,Zgłaszanie przedmiotów,4,1d,,,
72,2.3.1.3,Lista dopasowań,4,1d,,,
73,2.3.2,Makiety Procesów,3,1d,,,
74,2.3.2.1,Proces wysyłki,4,1d,,,
75,2.3.2.2,Proces płatności i escrow,4,1d,,,
76,2.4,Standardy i Dokumentacja,2,1d,,,
77,2.4.1,Standardy Nazewnictwa,3,1d,,,
78,2.4.1.1,Opracowanie słownika projektowego i terminologii,4,1d,,,
79,2.4.1.2,Projekt konwencji nazewnictwa dla systemu,4,1d,,,
80,2.4.2,Standardy Dokumentacji Technicznej,3,1d,,,
81,2.4.2.1,Projekt szablonów dokumentacji,4,1d,,,
82,2.4.2.2,Specyfikacja wymagań dla systemu dokumentacji,4,1d,,,
83,2.4.3,Specyfikacja API,3,1d,,,
84,2.4.3.1,Projekt standardów dokumentacji API,4,1d,,,
85,2.4.3.2,Specyfikacja systemu wersjonowania,4,1d,,,
86,2.4.3.3,Skrypt tworzący środowisko testowe API,4,1d,,,
87,3,BUDOWA,1,1d,,,
88,3.1,Alpha,2,1d,,,
89,3.1.1,Podstawowe Funkcje,3,1d,,,
90,3.1.1.1,Rejestracja użytkownika,4,1d,,,
91,3.1.1.2,Zgłaszanie przedmiotów,4,1d,,,
92,3.1.1.3,Podstawowy matching,4,1d,,,
93,3.1.2,Działające Demo *Minimal Viable Product*,3,1d,,,
94,3.1.2.1,Formularze zgłoszeń,4,1d,,,
95,3.1.2.2,Widok dopasowań,4,1d,,,
96,3.1.2.3,Profil użytkownika,4,1d,,,
97,3.2,Beta,2,1d,,,
98,3.2.1,Weryfikacja,3,1d,,,
99,3.2.1.1,System weryfikacji tożsamości,4,1d,,,
100,3.2.1.2,System ocen,4,1d,,,
101,3.2.1.3,System zabezpieczenia transakcji escrow,4,1d,,,
102,3.2.2,Rozszerzony Matching,3,1d,,,
103,3.2.2.1,Geolokalizacja,4,1d,,,
104,3.2.2.2,Zaawansowane filtry,4,1d,,,
105,3.2.2.3,System powiadomień,4,1d,,,
106,3.3,Produkcja,2,1d,,,
107,3.3.1,Integracje,3,1d,,,
108,3.3.1.1,Integracja płatności,4,1d,,,
109,3.3.1.2,Integracja InPost,4,1d,,,
110,3.3.1.3,Integracja map,4,1d,,,
111,3.3.2,System Logistyczny,3,1d,,,
112,3.3.2.1,Generowanie listów przewozowych,4,1d,,,
113,3.3.2.2,Śledzenie przesyłek,4,1d,,,
114,3.4,System Dokumentacji,2,1d,,,
115,3.4.1,Implementacja Podstawowa,3,1d,,,
116,3.4.1.1,Wdrożenie systemu dokumentacji kodu,4,1d,,,
117,3.4.1.2,Implementacja portalu dokumentacji,4,1d,,,
118,3.4.2,Dokumentacja API,3,1d,,,
119,3.4.2.1,Implementacja dokumentacji API Inpost,4,1d,,,
120,3.4.2.2,Stworzenie dokumentacji API Providera płatności i escrow,4,1d,,,
121,3.4.3,Narzędzia Dokumentacji,3,1d,,,
122,3.4.3.1,System zarządzania wersjami dokumentacji,4,1d,,,
123,3.4.3.2,Implementacja walidatorów nazewnictwa,4,1d,,,
124,4,Testy,1,1d,,,
125,4.1,Testy systemowe,2,1d,,,
126,4.1.1,Testowanie funkcjonalności aplikacji,3,1d,,,
127,4.1.1.1,Zgłaszanie zgubionych przedmiotów,4,1d,,,
128,4.1.1.2,Zgłaszanie znalezionych przedmiotów,4,1d,,,
129,4.1.1.3,Rejestracja użytkownika,4,1d,,,
130,4.1.1.4,Zgłaszanie przedmiotów,4,1d,,,
131,4.1.1.5,Podstawowy matching,4,1d,,,
132,4.1.2,Testowanie integracji API,3,1d,,,
133,4.1.2.1,API płatności i escrow,4,1d,,,
134,4.1.2.2,API InPost,4,1d,,,
135,4.1.2.3,API geolokalizacji,4,1d,,,
136,4.1.3,Testy wydajnościowe,3,1d,,,
137,4.1.3.1,Obciążenie serwera,4,1d,,,
138,4.1.3.2,Obsługa wielu użytkowników,4,1d,,,
139,4.1.3.3,Wydajność systemu powiadomień,4,1d,,,
140,4.2,Testy bezpieczeństwa,2,1d,,,
141,4.2.1,Testy ochrony danych użytkownika,3,1d,,,
142,4.2.2,Testy odporności na ataki (np. SQL Injection),3,1d,,,
143,4.2.3,Weryfikacja zgodności z RODO,3,1d,,,
144,4.2.4,Testy bezpieczeństwa płatności,4,1d,,,
145,4.3,Testy akceptacyjne,2,1d,,,
146,4.3.1,Weryfikacja zgodności z wymaganiami biznesowymi,3,1d,,,
147,4.3.2,Testy z udziałem grupy testowej (feedback użytkowników),3,1d,,,
148,5,Wdrażanie,1,1d,,,
149,5.1,Przygotowanie środowiska produkcyjnego,2,1d,,,
150,5.1.1,Konfiguracja serwerów,3,1d,,,
151,5.1.1.1,Ustawienie serwerów w chmurze,4,1d,,,
152,5.1.1.2,Instalacja systemów operacyjnych,4,1d,,,
153,5.1.1.3,Konfiguracja Dockera,4,1d,,,
154,5.1.2,Wdrożenie bazy danych,3,1d,,,
155,5.1.2.1,Ustawienie bazy danych,4,1d,,,
156,5.1.2.2,Konfiguracja środowiska bazy danych,4,1d,,,
157,5.1.2.3,Instalacja oprogramowania i bibliotek,4,1d,,,
158,5.1.3,Zabezpieczenia środowiska,3,1d,,,
159,5.1.3.1,Konfiguracja szyfrowania bazy danych,4,1d,,,
160,5.1.3.2,Konfiguracja dostępu,4,1d,,,
161,5.1.3.3,Wdrożenie alertów dotyczących bezpieczeństwa,4,1d,,,
162,5.2,Migracja danych,2,1d,,,
163,5.2.1,Import danych testowych,3,1d,,,
164,5.2.1.1,Weryfikacja integralności danych,4,1d,,,
165,5.2.2,Automatyczny backup,3,1d,,,
166,5.2.2.1,Test przywrócenia automatycznego backupu,5,1d,,,
167,5.3,Wdrożenie aplikacji,2,1d,,,
168,5.3.1,Przeniesienie aplikacji na serwer produkcyjny,3,1d,,,
169,5.3.1.1,Autostart środowiska,4,1d,,,
170,5.3.1.2,Audyt pusha pod zawartość kluczy api,4,1d,,,
171,5.3.1.1,Weryfikacja uprawnień,4,1d,,,
172,5.3.2,Weryfikacja połączeń API,3,1d,,,
173,5.4,Szkolenie użytkowników i wsparcie techniczne,2,1d,,,
174,5.4.1,Przygotowanie dokumentacji użytkownika,3,1d,,,
175,5.4.2,Szkolenie zespołu wsparcia technicznego,3,1d,,,
176,5.4.3,Uruchomienie kanałów wsparcia dla użytkowników końcowych,3,1d,,,
177,6,MARKETING,1,1d,,,
178,6.1,Strategie marketingowe,2,1d,,,
179,6.1.1,Analiza rynku i konkurencji,3,1d,,,
180,6.1.1.1,Badanie potrzeb klientów,4,1d,,,
181,6.1.1.2,Analiza konkurencyjnych produktów/usług,4,1d,,,
182,6.1.2,Planowanie kampanii reklamowych,3,1d,,,
183,6.1.2.1,Wyznaczenie celów kampanii,4,1d,,,
184,6.1.2.2,Wybór kanałów marketingowych,4,1d,,,
185,6.1.2.3,Opracowanie harmonogramu działań,4,1d,,,
186,6.1.3,Budżetowanie marketingowe,3,1d,,,
187,6.1.3.1,Przydzielenie środków na działania promocyjne,4,1d,,,
188,6.1.3.2,Monitorowanie wykorzystania budżetu,4,1d,,,
189,6.2,Kampanie promocyjne,2,1d,,,
190,6.2.1,Tworzenie materiałów,3,1d,,,
191,6.2.1.1,Projektowanie materiałów wizualnych,4,1d,,,
192,6.2.1.2,Przygotowanie treści tekstowych,4,1d,,,
193,6.2.2,Realizacja kampanii,3,1d,,,
194,6.2.2.1,Publikacja w social media,4,1d,,,
195,6.2.2.2,E-mail marketing,4,1d,,,
196,6.2.2.3,Płatne kampanie reklamowe,4,1d,,,
197,6.2.2.4,Monitorowanie wyników i optymalizacja,4,1d,,,
198,7,EKSPLOATACJA,1,1d,,,
199,7.1,Zarządzanie systemem,2,1d,,,
200,7.1.1,Utrzymanie infrastruktury,3,1d,,,
201,7.1.1.1,Monitoring działania systemu,4,1d,,,
202,7.1.1.2,Instalowanie aktualizacji i łatek,4,1d,,,
203,7.1.2,Automatyzacja procesów,3,1d,,,
204,7.1.2.1,Konfiguracja automatycznych kopii zapasowych,4,1d,,,
205,7.1.2.2,Usprawnianie procesów operacyjnych,4,1d,,,
206,7.1.3,Zarządzanie dostępem,3,1d,,,
207,7.1.3.1,Tworzenie kont użytkowników,4,1d,,,
208,7.1.3.2,Zarządzanie uprawnieniami i rolami,4,1d,,,
209,,*7.1.4.* *Opłaty cykliczne*,4,1d,,,
210,7.1.4.1,Opłaty za Serwery/Chmury,4,1d,,,
211,7.1.4.2,Opłaty za licencje,4,1d,,,
212,7.2,Obsługa użytkownika,2,1d,,,
213,7.2.1,Wsparcie techniczne,3,1d,,,
214,7.2.1.1,Rozwiązywanie problemów zgłaszanych przez użytkowników,4,1d,,,
215,7.2.1.2,Udzielanie informacji i szkoleń,4,1d,,,
216,7.2.2,Obsługa zgłoszeń,3,1d,,,
217,7.2.2.1,Rejestracja zgłoszeń serwisowych,4,1d,,,
218,7.2.2.2,Zarządzanie reklamacjami,4,1d,,,
219,7.2.3,Dokumentacja,3,1d,,,
220,7.2.3.1,Aktualizacja instrukcji użytkownika,4,1d,,,
221,7.2.3.2,Publikacja FAQ na stronie pomocy,4,1d,,,
222,7.3,Bezpieczeństwo operacyjne,2,1d,,,
223,7.3.1,Monitorowanie zagrożeń,3,1d,,,
224,7.3.1.1,Analiza logów systemowych,4,1d,,,
225,7.3.1.2,Identyfikacja potencjalnych zagrożeń,4,1d,,,
226,7.3.2,Zabezpieczenia systemu,3,1d,,,
227,7.3.2.1,Implementacja narzędzi ochronnych,4,1d,,,
228,7.3.2.2,Aktualizacja polityki bezpieczeństwa,4,1d,,,
